No,Category,Material Number,Detail Item,UoM,Harga Kontrak 1,Harga Kontrak 2,Harga Kontrak 3,PENAWARAN SAAT KONTRAK KE-3,Harga Planning Kontrak 4,Strategy,Keterangan
70,Others,OTH025,VC-20 Wagon Container 100 Litres,Unit,,,,"Rp 420,000",Rp 420.000,NEW_ITEM,
71,Others,OTH026,VC-21 Wagon Container 125 Litres,Unit,,,Rp 450.000,"Rp 450,000",Rp 450.000,CARRY_FORWARD,
72,Others,OTH027,IC-2 Industrial Container 50 B,Unit,,,,"Rp 400,000",Rp 400.000,NEW_ITEM,
73,Pantry,PTR001,Good Day Cappucino Sachet 10 Pcs,Pack,,,,"Rp 25,000",Rp 25.000,NEW_ITEM,
74,Pantry,PTR002,"Coffee ""Kapal Api Perak"" 380 gram",Pack,,,,"Rp 40,000",Rp 40.000,NEW_ITEM,
75,Pantry,PTR003,Nescafe Classic Jar 200gr,Pcs,,,Rp 120.000,"Rp 120,000",Rp 120.000,CARRY_FORWARD,
76,Pantry,PTR004,Max Creamer refill 500 Gram,Pack,,,,"Rp 46,000",Rp 46.000,NEW_ITEM,
77,Pantry,PTR005,Energen Sachet 10Pcs,Pack,,,Rp 22.200,"Rp 22,400",Rp 22.400,PRICE_UP,
78,Pantry,PTR006,"Instant Ginger Sachet ""Jahe Wangi"" 10 Pcs",Pack,Rp 14.000,Rp 14.000,,"Rp 14,500",Rp 14.500,PRICE_UP,
79,Pantry,PTR007,Bango Soya Sauce 275ml,Bottle,,,Rp 23.300,"Rp 27,000",Rp 27.000,PRICE_UP,
80,Pantry,PTR008,Aqua Mineral Water + Galoon,Bottle,,,,,,NO_PRICE,
81,Pantry,PTR009,Aqua Mineral Water 330 ml,Pack,,,,"Rp 60,000",Rp 60.000,NEW_ITEM,
82,Pantry,PTR010,Aqua Mineral Water 600 ml,Pack,,,,"Rp 78,000",Rp 78.000,NEW_ITEM,
83,Pantry,PTR011,Refill Aqua Mineral Water Galoon,Bottle,,,,,,NO_PRICE,
84,Pantry,PTR012,Cleo Mineral Water Galoon 19L,Bottle,,,,,,NO_PRICE,
85,Pantry,PTR013,Nutrisari Refill Box 500gr,Pcs,,Rp 47.500,Rp 47.500,"Rp 48,000",Rp 48.000,PRICE_UP,
86,Pantry,PTR014,Indofood Sauce 275ml,Bottle,,,,"Rp 16,000",Rp 16.000,NEW_ITEM,
87,Pantry,PTR015,Bendera Skimmed Milk 535ml,Pcs,,,,"Rp 22,000",Rp 22.000,NEW_ITEM,
88,Pantry,PTR016,Gulaku 1kg,Pack,,,Rp 21.000,"Rp 21,000",Rp 21.000,CARRY_FORWARD,
89,Pantry,PTR017,ABC Squash 450ml,Bottle,,,Rp 18.000,"Rp 18,000",Rp 18.000,CARRY_FORWARD,
90,Pantry,PTR018,Teh Sariwangi celup isi 50 Kantong,Pack,,,Rp 14.000,"Rp 14,900",Rp 14.900,PRICE_UP,
91,Pantry,PTR019,The Tong Dji celup isi 25 kantong,Pack,,,,"Rp 13,900",Rp 13.900,NEW_ITEM,
92,Pantry,PTR020,Nestle Milo Activ-Go Npro 960gr,Pack,,,Rp 99.000,"Rp 110,000",Rp 110.000,PRICE_UP,
93,Pantry,PTR021,Nestle Nescaffe 120gr,Pack,,,,"Rp 68,000",Rp 68.000,NEW_ITEM,
94,Pantry,PTR022,Nestle Skim Milk Powder 250gr,Pack,,,,"Rp 48,000",Rp 48.000,NEW_ITEM,
